-24.02081528	-24.02081528
-24.02081528	-23.02081528
-24.02081528	-21.60660172
-24.02081528	-20.60660172
-24.02081528	-19.19238816
-24.02081528	-18.19238816
-24.02081528	-17.19238816
-24.02081528	-15.77817459
-24.02081528	-14.77817459
-24.02081528	-13.36396103
-24.02081528	-12.36396103
-24.02081528	-10.94974747
-24.02081528	-9.949747468
-24.02081528	-8.949747468
-24.02081528	-7.535533906
-24.02081528	-6.535533906
-24.02081528	-5.121320344
-24.02081528	-4.121320344
-24.02081528	-3.121320344
-24.02081528	-1.707106781
-24.02081528	-0.7071067812
-24.02081528	0.7071067812
-24.02081528	1.707106781
-24.02081528	3.121320344
-24.02081528	4.121320344
-24.02081528	5.121320344
-24.02081528	6.535533906
-24.02081528	7.535533906
-24.02081528	8.949747468
-24.02081528	9.949747468
-24.02081528	10.94974747
-24.02081528	12.36396103
-24.02081528	13.36396103
-24.02081528	14.77817459
-24.02081528	15.77817459
-24.02081528	17.19238816
-24.02081528	18.19238816
-24.02081528	19.19238816
-24.02081528	20.60660172
-24.02081528	21.60660172
-24.02081528	23.02081528
-24.02081528	24.02081528
-23.3137085	-23.3137085
-23.3137085	-22.3137085
-23.3137085	-19.89949494
-23.3137085	-18.89949494
-23.3137085	-17.48528137
-23.3137085	-16.48528137
-23.3137085	-15.07106781
-23.3137085	-14.07106781
-23.3137085	-11.65685425
-23.3137085	-10.65685425
-23.3137085	-9.242640687
-23.3137085	-8.242640687
-23.3137085	-5.828427125
-23.3137085	-4.828427125
-23.3137085	-3.414213562
-23.3137085	-2.414213562
-23.3137085	-1
-23.3137085	0
-23.3137085	1
-23.3137085	2.414213562
-23.3137085	3.414213562
-23.3137085	4.828427125
-23.3137085	5.828427125
-23.3137085	8.242640687
-23.3137085	9.242640687
-23.3137085	10.65685425
-23.3137085	11.65685425
-23.3137085	14.07106781
-23.3137085	15.07106781
-23.3137085	16.48528137
-23.3137085	17.48528137
-23.3137085	18.89949494
-23.3137085	19.89949494
-23.3137085	22.3137085
-23.3137085	23.3137085
-23.02081528	-24.02081528
-23.02081528	-21.60660172
-23.02081528	-20.60660172
-23.02081528	-18.19238816
-23.02081528	-15.77817459
-23.02081528	-13.36396103
-23.02081528	-12.36396103
-23.02081528	-9.949747468
-23.02081528	-7.535533906
-23.02081528	-6.535533906
-23.02081528	-4.121320344
-23.02081528	-1.707106781
-23.02081528	1.707106781
-23.02081528	4.121320344
-23.02081528	6.535533906
-23.02081528	7.535533906
-23.02081528	9.949747468
-23.02081528	12.36396103
-23.02081528	13.36396103
-23.02081528	15.77817459
-23.02081528	18.19238816
-23.02081528	20.60660172
-23.02081528	21.60660172
-23.02081528	24.02081528
-22.3137085	-23.3137085
-22.3137085	-22.3137085
-22.3137085	-20.89949494
-22.3137085	-19.89949494
-22.3137085	-18.89949494
-22.3137085	-17.48528137
-22.3137085	-16.48528137
-22.3137085	-15.07106781
-22.3137085	-14.07106781
-22.3137085	-13.07106781
-22.3137085	-11.65685425
-22.3137085	-10.65685425
-22.3137085	-9.242640687
-22.3137085	-8.242640687
-22.3137085	-6.828427125
-22.3137085	-5.828427125
-22.3137085	-4.828427125
-22.3137085	-3.414213562
-22.3137085	-2.414213562
-22.3137085	-1
-22.3137085	0
-22.3137085	1
-22.3137085	2.414213562
-22.3137085	3.414213562
-22.3137085	4.828427125
-22.3137085	5.828427125
-22.3137085	6.828427125
-22.3137085	8.242640687
-22.3137085	9.242640687
-22.3137085	10.65685425
-22.3137085	11.65685425
-22.3137085	13.07106781
-22.3137085	14.07106781
-22.3137085	15.07106781
-22.3137085	16.48528137
-22.3137085	17.48528137
-22.3137085	18.89949494
-22.3137085	19.89949494
-22.3137085	20.89949494
-22.3137085	22.3137085
-22.3137085	23.3137085
-21.60660172	-24.02081528
-21.60660172	-23.02081528
-21.60660172	-21.60660172
-21.60660172	-20.60660172
-21.60660172	-19.19238816
-21.60660172	-18.19238816
-21.60660172	-17.19238816
-21.60660172	-15.77817459
-21.60660172	-14.77817459
-21.60660172	-13.36396103
-21.60660172	-12.36396103
-21.60660172	-10.94974747
-21.60660172	-9.949747468
-21.60660172	-8.949747468
-21.60660172	-7.535533906
-21.60660172	-6.535533906
-21.60660172	-5.121320344
-21.60660172	-4.121320344
-21.60660172	-3.121320344
-21.60660172	-1.707106781
-21.60660172	-0.7071067812
-21.60660172	0.7071067812
-21.60660172	1.707106781
-21.60660172	3.121320344
-21.60660172	4.121320344
-21.60660172	5.121320344
-21.60660172	6.535533906
-21.60660172	7.535533906
-21.60660172	8.949747468
-21.60660172	9.949747468
-21.60660172	10.94974747
-21.60660172	12.36396103
-21.60660172	13.36396103
-21.60660172	14.77817459
-21.60660172	15.77817459
-21.60660172	17.19238816
-21.60660172	18.19238816
-21.60660172	19.19238816
-21.60660172	20.60660172
-21.60660172	21.60660172
-21.60660172	23.02081528
-21.60660172	24.02081528
-20.89949494	-22.3137085
-20.89949494	-19.89949494
-20.89949494	-17.48528137
-20.89949494	-16.48528137
-20.89949494	-14.07106781
-20.89949494	-11.65685425
-20.89949494	-8.242640687
-20.89949494	-5.828427125
-20.89949494	-3.414213562
-20.89949494	-2.414213562
-20.89949494	0
-20.89949494	2.414213562
-20.89949494	3.414213562
-20.89949494	5.828427125
-20.89949494	8.242640687
-20.89949494	11.65685425
-20.89949494	14.07106781
-20.89949494	16.48528137
-20.89949494	17.48528137
-20.89949494	19.89949494
-20.89949494	22.3137085
-20.60660172	-24.02081528
-20.60660172	-23.02081528
-20.60660172	-21.60660172
-20.60660172	-20.60660172
